N,P,K,Temperature,Humidity,pH,Rainfall,Latitude,Longitude,Soil_Type,Crop,Best Sowing Time,Duration Time (Approx.),Harvesting Time
102,79,113,24.35,47.27,5.78,284.33,21.4104,73.4537,Laterite,Banana,Feb - May or July - Aug (Planting),11 - 15 months,Throughout the year
71,142,80,42.15,90.88,4.36,278.35,19.1361,74.3164,Red & Yellow,Chickpea,October - November (Rabi),4 - 5 months,March (Spring)
60,36,35,20.84,14.83,6.86,108.02,20.2069,75.2012,Alluvial,Mungbean,June - July (Kharif),2 - 3 months,September - October (Autumn)
83,43,101,25.77,52.53,8.79,97.64,21.2843,75.9873,Forest / Mountain,Apple,Dec - Feb (Dormant season),Perennial (Tree),July - September
106,33,83,28.74,51.31,4.71,136.56,19.9024,76.6478,Black (Regur),Cotton,June - September (Kharif),5 - 6 months,December - February
120,66,197,37.42,95.86,8.92,241.93,20.3984,75.4589,Arid (Desert),Mothbeans,June - July (Kharif),2 - 3 months,September - October (Autumn)
84,25,96,40.61,86.49,5.83,152.68,17.1324,78.5614,Red & Yellow,Grapes,Dec - Jan (Planting),Perennial (Vine),Feb - May
29,27,187,33.95,53.41,5.64,56.66,20.5163,79.6274,Laterite,Mango,July - August (Planting),Perennial (Tree),February - June
94,84,91,15.89,41.78,5.31,128.85,16.5346,76.1129,Peaty / Marshy,Coconut,June - July (Planting),Perennial (Tree),Year-round (Multiple harvests)
88,124,147,34.12,82.66,8.58,59.45,19.7258,75.3142,Alluvial,Jute,March - July (Monsoon),4 - 5 months,July - October (Autumn)
54,138,94,11.27,59.78,5.59,136.12,19.6623,74.7689,Arid (Desert),Mothbeans,June - July (Kharif),2 - 3 months,September - October (Autumn)
56,27,166,26.81,61.04,7.98,296.98,20.1534,78.2253,Alluvial,Lentil,October - November (Rabi),4 - 5 months,February - April (Spring)
55,141,118,36.56,21.83,4.73,202.83,19.4582,73.9871,Black (Regur),Cotton,June - September (Kharif),5 - 6 months,December - February
50,72,180,43.56,86.73,4.98,265.51,18.9642,74.6845,Red & Yellow,Blackgram,June - July (Kharif),2 - 3 months,September - October (Autumn)
46,91,143,34.36,42.52,5.65,291.36,21.7324,76.3452,Laterite,Coffee,June - July (Monsoon/Main planting),Perennial (Shrub),November - March (Main Harvest)
17,135,181,30.68,15.63,8.92,180.47,20.4125,72.9412,Saline / Alkaline,Chickpea,October - November (Rabi),4 - 5 months,March (Spring)
30,10,60,20.78,20.78,4.09,224.83,21.1346,73.6457,Red & Yellow,Grapes,Dec - Jan (Planting),Perennial (Vine),Feb - May
96,64,32,21.27,72.93,6.91,214.75,21.9651,77.9871,Alluvial,Lentil,October - November (Rabi),4 - 5 months,February - April (Spring)
91,39,136,32.21,38.47,7.71,71.62,20.5164,78.3251,Alluvial,Kidneybeans,Oct - Nov (Rabi) or Feb-Mar (Zaid),3 - 5 months,March - May (Spring/Early Summer)
9,134,36,11.96,36.42,5.87,144.36,19.1123,74.8123,Arid (Desert),Mothbeans,June - July (Kharif),2 - 3 months,September - October (Autumn)
20,81,158,20.03,15.92,6.41,226.13,17.9842,76.7641,Alluvial,Mungbean,June - July (Kharif),2 - 3 months,September - October (Autumn)
60,37,140,18.48,38.47,6.94,54.71,19.6462,74.9123,Black (Regur),Cotton,June - September (Kharif),5 - 6 months,December - February
89,139,142,26.66,94.26,6.91,182.67,20.7123,78.2342,Alluvial,Maize,June - July (Kharif),3 - 4 months,September - October (Autumn)
125,23,103,15.18,20.12,6.18,196.62,20.5124,75.1236,Forest / Mountain,Apple,Dec - Feb (Dormant season),Perennial (Tree),July - September
73,68,64,32.56,95.43,8.92,259.88,18.8652,76.9164,Alluvial,Maize,June - July (Kharif),3 - 4 months,September - October (Autumn)
37,109,113,31.29,47.57,7.78,180.61,21.8654,75.7643,Red & Yellow,Blackgram,June - July (Kharif),2 - 3 months,September - October (Autumn)
